"","Indicator","Measure","Date","Operator","Service","Value"
"314","délai de réparation","% à la durée convenue","2015-09-30","Voo","Fixed telephony",0.453872562
"315","temps de réponse","temps de réponse moyen","2015-09-30","Voo","N/A",80.095158
"316","temps de réponse","% appels en 20 secondes","2015-09-30","Voo","N/A",12.81522528
"317","plaintes - facturation ","% de factures","2015-09-30","Voo","N/A",4.80570948
"318","plaintes - vitesse","% de lignes","2015-09-30","Voo","Internet access",50.7269334
"319","taux de couverture","% de ménages - 2G","2015-09-30","Voo","Mobile telephony",45.92122392
"320","taux de couverture","% de ménages - 3G","2015-09-30","Voo","Mobile telephony",48.0570948
"321","taux de couverture","% de ménages - 4G","2015-09-30","Voo","Mobile telephony",50.7269334
"322","délai de fourniture ","50% les plus rapidement fournis","2015-09-30","Numericable","Fixed telephony",2.6698386
"323","délai de fourniture ","95% les plus rapidement fournis","2015-09-30","Numericable","Fixed telephony",6.94158036
"324","délai de fourniture ","99% les plus rapidement fournis","2015-09-30","Numericable","Fixed telephony",8.54348352
"325","délai de fourniture ","% faits à la duree convenue","2015-09-30","Numericable","Fixed telephony",0.4164948216
"326","taux de pannes","nombre de pannes par ligne","2015-09-30","Numericable","Fixed telephony",0.0427174176
"327","délai de réparation","80% les plus rapidement réparées","2015-09-30","Numericable","Fixed telephony",2.13587088
"328","délai de réparation","95% les plus rapidement réparées","2015-09-30","Numericable","Fixed telephony",5.87364492
"329","délai de réparation","% à la durée convenue","2015-09-30","Numericable","Fixed telephony",0.40047579
"330","temps de réponse","temps de réponse moyen","2015-09-30","Numericable","N/A",186.888702
"331","temps de réponse","% appels en 20 secondes","2015-09-30","Numericable","N/A",21.89267652
"332","plaintes - facturation ","% de factures","2015-09-30","Numericable","N/A",8.0095158
"333","plaintes - vitesse","% de lignes","2015-09-30","Numericable","Internet access",26.698386
"334","taux de couverture","% de ménages - 2G","2015-09-30","Numericable","Mobile telephony",42.18344988
"335","taux de couverture","% de ménages - 3G","2015-09-30","Numericable","Mobile telephony",44.85328848
"336","taux de couverture","% de ménages - 4G","2015-09-30","Numericable","Mobile telephony",24.0285474
"337","délai de fourniture ","50% les plus rapidement fournis","2015-09-30","Proximus","Internet access",5.3396772
"338","délai de fourniture ","95% les plus rapidement fournis","2015-09-30","Proximus","Internet access",8.0095158
"339","délai de fourniture ","99% les plus rapidement fournis","2015-09-30","Proximus","Internet access",10.6793544
"340","délai de fourniture ","% faits à la duree convenue","2015-09-30","Proximus","Internet access",0.40047579
"341","taux de pannes","nombre de pannes par ligne","2015-09-30","Proximus","Internet access",0.0747554808
"342","délai de réparation","80% les plus rapidement réparées","2015-09-30","Proximus","Internet access",1.60190316
"343","délai de réparation","95% les plus rapidement réparées","2015-09-30","Proximus","Internet access",2.6698386
"344","délai de réparation","% à la durée convenue","2015-09-30","Proximus","Internet access",0.3844567584
"345","délai de fourniture ","50% les plus rapidement fournis","2015-09-30","Telenet","Internet access",4.80570948
"346","délai de fourniture ","95% les plus rapidement fournis","2015-09-30","Telenet","Internet access",7.47554808
"347","délai de fourniture ","99% les plus rapidement fournis","2015-09-30","Telenet","Internet access",7.47554808
"348","délai de fourniture ","% faits à la duree convenue","2015-09-30","Telenet","Internet access",0.3630980496
"349","taux de pannes","nombre de pannes par ligne","2015-09-30","Telenet","Internet access",0.0961141896
"350","délai de réparation","80% les plus rapidement réparées","2015-09-30","Telenet","Internet access",1.06793544
"351","délai de réparation","95% les plus rapidement réparées","2015-09-30","Telenet","Internet access",2.13587088
"352","délai de réparation","% à la durée convenue","2015-09-30","Telenet","Internet access",0.347079018
"353","délai de fourniture ","50% les plus rapidement fournis","2015-09-30","Voo","Internet access",10.14538668
"354","délai de fourniture ","95% les plus rapidement fournis","2015-09-30","Voo","Internet access",13.349193
"355","délai de fourniture ","99% les plus rapidement fournis","2015-09-30","Voo","Internet access",16.0190316
"356","délai de fourniture ","% faits à la duree convenue","2015-09-30","Voo","Internet access",0.453872562
"357","taux de pannes","nombre de pannes par ligne","2015-09-30","Voo","Internet access",0.1014538668
"358","délai de réparation","80% les plus rapidement réparées","2015-09-30","Voo","Internet access",1.60190316
"359","délai de réparation","95% les plus rapidement réparées","2015-09-30","Voo","Internet access",4.80570948
"360","délai de réparation","% à la durée convenue","2015-09-30","Voo","Internet access",0.453872562
"361","délai de fourniture ","50% les plus rapidement fournis","2015-09-30","Numericable","Internet access",2.6698386
"362","délai de fourniture ","95% les plus rapidement fournis","2015-09-30","Numericable","Internet access",6.94158036
"363","délai de fourniture ","99% les plus rapidement fournis","2015-09-30","Numericable","Internet access",8.54348352
"364","délai de fourniture ","% faits à la duree convenue","2015-09-30","Numericable","Internet access",0.4164948216
"365","taux de pannes","nombre de pannes par ligne","2015-09-30","Numericable","Internet access",0.0427174176
"366","délai de réparation","80% les plus rapidement réparées","2015-09-30","Numericable","Internet access",2.13587088
"367","délai de réparation","95% les plus rapidement réparées","2015-09-30","Numericable","Internet access",5.87364492
"368","délai de réparation","% à la durée convenue","2015-09-30","Numericable","Internet access",0.40047579
"1210","plaintes - vitesse","% de lignes","2014-12-31","Proximus","Mobile telephony",15
"2710","plaintes - vitesse","% de lignes","2014-12-31","Telenet","Mobile telephony",10
"421","plaintes - vitesse","% de lignes","2014-12-31","Voo","Mobile telephony",95
"571","plaintes - vitesse","% de lignes","2014-12-31","Numericable","Mobile telephony",50
"1041","plaintes - vitesse","% de lignes","2015-03-30","Proximus","Mobile telephony",12.87
"1191","plaintes - vitesse","% de lignes","2015-03-30","Telenet","Mobile telephony",8.58
"1341","plaintes - vitesse","% de lignes","2015-03-30","Voo","Mobile telephony",81.51
"1491","plaintes - vitesse","% de lignes","2015-03-30","Numericable","Mobile telephony",42.9
"1961","plaintes - vitesse","% de lignes","2015-06-30","Proximus","Mobile telephony",10.82367
"2111","plaintes - vitesse","% de lignes","2015-06-30","Telenet","Mobile telephony",7.21578
"2261","plaintes - vitesse","% de lignes","2015-06-30","Voo","Mobile telephony",68.54991
"2411","plaintes - vitesse","% de lignes","2015-06-30","Numericable","Mobile telephony",36.0789
"2881","plaintes - vitesse","% de lignes","2015-09-30","Proximus","Mobile telephony",8.0095158
"3031","plaintes - vitesse","% de lignes","2015-09-30","Telenet","Mobile telephony",5.3396772
"3181","plaintes - vitesse","% de lignes","2015-09-30","Voo","Mobile telephony",50.7269334
"3331","plaintes - vitesse","% de lignes","2015-09-30","Numericable","Mobile telephony",26.698386
